thr,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
0.005,sens,0.9534883720930233,fit-age-sex-bloods,0,0.9085423197492163,0.9900519801980198,0.9085423197492163,0.9900519801980198
0.01,sens,0.8953488372093024,fit-age-sex-bloods,0,0.8381024096385543,0.9548135852911134,0.8381024096385543,0.9548135852911134
0.0141,sens,0.8488372093023255,fit-age-sex-bloods,0,0.7736395646606914,0.9145643132481234,0.7736395646606914,0.9145643132481234
0.02,sens,0.7674418604651163,fit-age-sex-bloods,0,0.6928930260047281,0.8351788963007883,0.6928930260047281,0.8351788963007883
0.03,sens,0.6976744186046512,fit-age-sex-bloods,0,0.6097626511419615,0.7812744484431231,0.6097626511419615,0.7812744484431231
0.04,sens,0.6395348837209303,fit-age-sex-bloods,0,0.5563488491706313,0.736543674698795,0.5563488491706313,0.736543674698795
0.05,sens,0.6046511627906976,fit-age-sex-bloods,0,0.5143461221122112,0.6845595126522961,0.5143461221122112,0.6845595126522961
0.1,sens,0.4186046511627907,fit-age-sex-bloods,0,0.3255,0.4894552139037433,0.3255,0.4894552139037433
0.2,sens,0.23255813953488372,fit-age-sex-bloods,0,0.1413563829787234,0.33019801980198016,0.1413563829787234,0.33019801980198016
0.005,spec,0.5651200651200651,fit-age-sex-bloods,0,0.5529627228525121,0.5773526023424408,0.5529627228525121,0.5773526023424408
0.01,spec,0.7313797313797313,fit-age-sex-bloods,0,0.7215271584845647,0.7426085565994123,0.7215271584845647,0.7426085565994123
0.0141,spec,0.7928367928367929,fit-age-sex-bloods,0,0.7815553758088601,0.8032575158717199,0.7815553758088601,0.8032575158717199
0.02,spec,0.8534798534798534,fit-age-sex-bloods,0,0.8422867612109184,0.8635052989609217,0.8422867612109184,0.8635052989609217
0.03,spec,0.8980463980463981,fit-age-sex-bloods,0,0.8891258848975482,0.9066006346136637,0.8891258848975482,0.9066006346136637
0.04,spec,0.9240944240944241,fit-age-sex-bloods,0,0.9157874889672366,0.9301697349308288,0.9157874889672366,0.9301697349308288
0.05,spec,0.9407814407814408,fit-age-sex-bloods,0,0.9331674149164635,0.9463508653238684,0.9331674149164635,0.9463508653238684
0.1,spec,0.9765974765974766,fit-age-sex-bloods,0,0.9725446301098453,0.9811159121260353,0.9725446301098453,0.9811159121260353
0.2,spec,0.9949124949124949,fit-age-sex-bloods,0,0.9928855816923305,0.9970555329536208,0.9928855816923305,0.9970555329536208
0.005,ppv,0.036953582694907616,fit-age-sex-bloods,0,0.02853347913267909,0.045740877278747163,0.02853347913267909,0.045740877278747163
0.01,ppv,0.05511811023622047,fit-age-sex-bloods,0,0.04370520783564262,0.0664010309102391,0.04370520783564262,0.0664010309102391
0.0141,ppv,0.06691109074243813,fit-age-sex-bloods,0,0.053617244740203,0.0823338265505178,0.053617244740203,0.0823338265505178
0.02,ppv,0.08396946564885496,fit-age-sex-bloods,0,0.06635535789919525,0.10310732655014258,0.06635535789919525,0.10310732655014258
0.03,ppv,0.10695187165775401,fit-age-sex-bloods,0,0.08272922865978179,0.13413704534718937,0.08272922865978179,0.13413704534718937
0.04,ppv,0.12850467289719625,fit-age-sex-bloods,0,0.09982142857142857,0.15981623179745938,0.09982142857142857,0.15981623179745938
0.05,ppv,0.15160349854227406,fit-age-sex-bloods,0,0.11872656339550344,0.18368190165272394,0.11872656339550344,0.18368190165272394
0.1,ppv,0.23841059602649006,fit-age-sex-bloods,0,0.18181818181818182,0.3011771537162162,0.18181818181818182,0.3011771537162162
0.2,ppv,0.4444444444444444,fit-age-sex-bloods,0,0.2922014260249554,0.5876641651031894,0.2922014260249554,0.5876641651031894
0.005,npv,0.998561668464581,fit-age-sex-bloods,0,0.9970961203371147,0.9996434919537044,0.9970961203371147,0.9996434919537044
0.01,npv,0.9975020815986678,fit-age-sex-bloods,0,0.9960959286112661,0.9988865408035011,0.9960959286112661,0.9988865408035011
0.0141,npv,0.9966743412637503,fit-age-sex-bloods,0,0.9949015956100598,0.9980873015083128,0.9949015956100598,0.9980873015083128
0.02,npv,0.9952539155196962,fit-age-sex-bloods,0,0.9933585533120922,0.9969195392217074,0.9933585533120922,0.9969195392217074
0.03,npv,0.9941428249605767,fit-age-sex-bloods,0,0.991841861032812,0.9961547594196848,0.991841861032812,0.9961547594196848
0.04,npv,0.9932195975503062,fit-age-sex-bloods,0,0.9903247206724163,0.9952966135670434,0.9903247206724163,0.9952966135670434
0.05,npv,0.9926991625509985,fit-age-sex-bloods,0,0.9898535764463524,0.9948572023716532,0.9898535764463524,0.9948572023716532
0.1,npv,0.989688595586719,fit-age-sex-bloods,0,0.986562285935244,0.9922756139978788,0.986562285935244,0.9922756139978788
0.2,npv,0.9866801210898083,fit-age-sex-bloods,0,0.9835259563600249,0.98932170707863,0.9835259563600249,0.98932170707863
0.005,tp,82.0,fit-age-sex-bloods,0,63.0,102.09999999999997,63.0,102.09999999999997
