metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
event_rate,1.72,fit-age-sex-bloods,0,1.3599999999999999,2.1009999999999995,1.3599999999999999,2.1009999999999995
mean_risk,1.5314155728636945,fit-age-sex-bloods,0,1.4380669746478747,1.637672225077547,1.4380669746478747,1.637672225077547
oe_ratio,1.1231438614560116,fit-age-sex-bloods,0,0.9289867751956847,1.3298473033293619,0.9289867751956847,1.3298473033293619
log_intercept,0.4894797715302393,fit-age-sex-bloods,0,0.07196067435279933,0.8693488629612006,0.07196067435279933,0.8693488629612006
log_slope,1.1191707045256443,fit-age-sex-bloods,0,0.9851884657202754,1.2545187275653962,0.9851884657202754,1.2545187275653962
event_rate,1.72,fit-age-sex,0,1.3599999999999999,2.1009999999999995,1.3599999999999999,2.1009999999999995
mean_risk,1.5949966459315907,fit-age-sex,0,1.4995672256643444,1.7154440505449102,1.4995672256643444,1.7154440505449102
oe_ratio,1.078372173626358,fit-age-sex,0,0.8852706512381998,1.2922136734203395,0.8852706512381998,1.2922136734203395
log_intercept,0.04127078779567993,fit-age-sex,0,-0.41332254146896297,0.3989545827015309,-0.41332254146896297,0.3989545827015309
log_slope,0.9856634722279486,fit-age-sex,0,0.8586482065814944,1.0942008983427058,0.8586482065814944,1.0942008983427058
event_rate,1.72,fit-spline,0,1.3599999999999999,2.1009999999999995,1.3599999999999999,2.1009999999999995
mean_risk,1.7291817966455545,fit-spline,0,1.6426392882482816,1.84352498304253,1.6426392882482816,1.84352498304253
oe_ratio,0.9946900917744067,fit-spline,0,0.8169539192878901,1.1906835816674688,0.8169539192878901,1.1906835816674688
log_intercept,0.014428325479835033,fit-spline,0,-0.4480388562934405,0.4383727376932639,-0.4480388562934405,0.4383727376932639
log_slope,1.006815069103335,fit-spline,0,0.8657557647378262,1.12084838647747,0.8657557647378262,1.12084838647747
