thr_fit,thr_mod,metric_name,metric_value,model_name,q025,q975,ci_low,ci_high
10,0.0156370992223173,sens_fit,0.813953488372093,fit-age-sex-bloods,0.7432051282051282,0.9007394366197183,0.7432051282051282,0.9007394366197183
10,0.0156370992223173,spec_fit,0.7592592592592593,fit-age-sex-bloods,0.7500359895934684,0.7728032779971818,0.7500359895934684,0.7728032779971818
10,0.0156370992223173,ppv_fit,0.055865921787709494,fit-age-sex-bloods,0.04203146071745078,0.06902976957206239,0.04203146071745078,0.06902976957206239
10,0.0156370992223173,npv_fit,0.9957299172671471,fit-age-sex-bloods,0.9937140756602426,0.9978553728699426,0.9937140756602426,0.9978553728699426
10,0.0156370992223173,tp_fit,70.0,fit-age-sex-bloods,52.475,86.52499999999999,52.475,86.52499999999999
10,0.0156370992223173,fp_fit,1183.0,fit-age-sex-bloods,1116.9,1228.1499999999999,1116.9,1228.1499999999999
10,0.0156370992223173,tn_fit,3731.0,fit-age-sex-bloods,3684.95,3805.525,3684.95,3805.525
10,0.0156370992223173,fn_fit,16.0,fit-age-sex-bloods,8.0,23.52499999999999,8.0,23.52499999999999
10,0.0156370992223173,pp_fit,1253.0,fit-age-sex-bloods,1180.325,1298.525,1180.325,1298.525
10,0.0156370992223173,pn_fit,3747.0,fit-age-sex-bloods,3701.475,3819.6749999999997,3701.475,3819.6749999999997
10,0.0156370992223173,pp_per_cancer_fit,17.900000000000002,fit-age-sex-bloods,14.488241780272654,23.805315674891137,14.488241780272654,23.805315674891137
10,0.0156370992223173,pp1000_fit,250.6,fit-age-sex-bloods,236.065,259.705,236.065,259.705
10,0.0156370992223173,pn1000_fit,749.4,fit-age-sex-bloods,740.295,763.935,740.295,763.935
10,0.0156370992223173,tp1000_fit,14.0,fit-age-sex-bloods,10.495,17.304999999999996,10.495,17.304999999999996
10,0.0156370992223173,fp1000_fit,236.6,fit-age-sex-bloods,223.38,245.63,223.38,245.63
10,0.0156370992223173,tn1000_fit,746.1999999999999,fit-age-sex-bloods,736.9899999999999,761.105,736.9899999999999,761.105
10,0.0156370992223173,fn1000_fit,3.2,fit-age-sex-bloods,1.6,4.704999999999998,1.6,4.704999999999998
10,0.0156370992223173,sens_mod,0.813953488372093,fit-age-sex-bloods,0.7409892191142191,0.896249422988152,0.7409892191142191,0.896249422988152
10,0.0156370992223173,spec_mod,0.8103378103378104,fit-age-sex-bloods,0.8015993189004099,0.8213446583186383,0.8015993189004099,0.8213446583186383
10,0.0156370992223173,ppv_mod,0.06986027944111776,fit-age-sex-bloods,0.05392148394151386,0.08737882615877948,0.05392148394151386,0.08737882615877948
10,0.0156370992223173,npv_mod,0.9959979989994997,fit-age-sex-bloods,0.994148234930416,0.9980033195107648,0.994148234930416,0.9980033195107648
10,0.0156370992223173,tp_mod,70.0,fit-age-sex-bloods,53.475,87.0,53.475,87.0
10,0.0156370992223173,fp_mod,932.0,fit-age-sex-bloods,878.375,974.1999999999999,878.375,974.1999999999999
10,0.0156370992223173,tn_mod,3982.0,fit-age-sex-bloods,3936.475,4043.525,3936.475,4043.525
10,0.0156370992223173,fn_mod,16.0,fit-age-sex-bloods,8.0,23.52499999999999,8.0,23.52499999999999
10,0.0156370992223173,pp_mod,1002.0,fit-age-sex-bloods,942.9,1046.525,942.9,1046.525
10,0.0156370992223173,pn_mod,3998.0,fit-age-sex-bloods,3953.475,4057.1,3953.475,4057.1
10,0.0156370992223173,pp_per_cancer_mod,14.314285714285715,fit-age-sex-bloods,11.452931034482758,18.545684835779173,11.452931034482758,18.545684835779173
10,0.0156370992223173,pp1000_mod,200.4,fit-age-sex-bloods,188.58,209.305,188.58,209.305
10,0.0156370992223173,pn1000_mod,799.6,fit-age-sex-bloods,790.6949999999999,811.42,790.6949999999999,811.42
10,0.0156370992223173,tp1000_mod,14.0,fit-age-sex-bloods,10.695,17.4,10.695,17.4
10,0.0156370992223173,fp1000_mod,186.4,fit-age-sex-bloods,175.67499999999998,194.83999999999997,175.67499999999998,194.83999999999997
10,0.0156370992223173,tn1000_mod,796.4,fit-age-sex-bloods,787.295,808.705,787.295,808.705
10,0.0156370992223173,fn1000_mod,3.2,fit-age-sex-bloods,1.6,4.704999999999998,1.6,4.704999999999998
10,0.0156370992223173,proportion_reduction_tests,-0.20031923383878691,fit-age-sex-bloods,-0.22856985298330448,-0.17644605281422754,-0.22856985298330448,-0.17644605281422754
10,0.0156370992223173,delta_sens,0.0,fit-age-sex-bloods,-0.03999559859154932,0.05218248663101596,-0.03999559859154932,0.05218248663101596
10,0.0156370992223173,delta_tp,0.0,fit-age-sex-bloods,-3.0,4.0,-3.0,4.0
10,0.0114119431915385,sens_fit,0.813953488372093,fit-age-sex,0.7432051282051282,0.9007394366197183,0.7432051282051282,0.9007394366197183
10,0.0114119431915385,spec_fit,0.7592592592592593,fit-age-sex,0.7500359895934684,0.7728032779971818,0.7500359895934684,0.7728032779971818
10,0.0114119431915385,ppv_fit,0.055865921787709494,fit-age-sex,0.04203146071745078,0.06902976957206239,0.04203146071745078,0.06902976957206239
10,0.0114119431915385,npv_fit,0.9957299172671471,fit-age-sex,0.9937140756602426,0.9978553728699426,0.9937140756602426,0.9978553728699426
10,0.0114119431915385,tp_fit,70.0,fit-age-sex,52.475,86.52499999999999,52.475,86.52499999999999
10,0.0114119431915385,fp_fit,1183.0,fit-age-sex,1116.9,1228.1499999999999,1116.9,1228.1499999999999
10,0.0114119431915385,tn_fit,3731.0,fit-age-sex,3684.95,3805.525,3684.95,3805.525
