prob_pred,n_bins,strategy,ymax,metric_name,metric_value,model_name,b,m
0.005204290174592278,10,uniform,0.2,prob_true,0.005733397037744864,fit-age-sex,-1,0
0.028023484556103526,10,uniform,0.2,prob_true,0.034210526315789476,fit-age-sex,-1,0
0.04913097491155599,10,uniform,0.2,prob_true,0.06790123456790123,fit-age-sex,-1,0
0.06867805399862802,10,uniform,0.2,prob_true,0.07142857142857142,fit-age-sex,-1,0
0.08926265792584442,10,uniform,0.2,prob_true,0.058823529411764705,fit-age-sex,-1,0
0.10860365976283774,10,uniform,0.2,prob_true,0.16129032258064516,fit-age-sex,-1,0
0.1292175204222111,10,uniform,0.2,prob_true,0.12121212121212122,fit-age-sex,-1,0
0.14887575004830594,10,uniform,0.2,prob_true,0.05555555555555555,fit-age-sex,-1,0
0.16742775453261818,10,uniform,0.2,prob_true,0.3333333333333333,fit-age-sex,-1,0
0.18866150525157593,10,uniform,0.2,prob_true,0.4,fit-age-sex,-1,0
0.005204290174592278,10,uniform,0.2,n_total,4186.0,fit-age-sex,-1,0
0.028023484556103526,10,uniform,0.2,n_total,380.0,fit-age-sex,-1,0
0.04913097491155599,10,uniform,0.2,n_total,162.0,fit-age-sex,-1,0
0.06867805399862802,10,uniform,0.2,n_total,70.0,fit-age-sex,-1,0
0.08926265792584442,10,uniform,0.2,n_total,51.0,fit-age-sex,-1,0
0.10860365976283774,10,uniform,0.2,n_total,31.0,fit-age-sex,-1,0
0.1292175204222111,10,uniform,0.2,n_total,33.0,fit-age-sex,-1,0
0.14887575004830594,10,uniform,0.2,n_total,18.0,fit-age-sex,-1,0
0.16742775453261818,10,uniform,0.2,n_total,6.0,fit-age-sex,-1,0
0.18866150525157593,10,uniform,0.2,n_total,10.0,fit-age-sex,-1,0
0.005204290174592278,10,uniform,0.2,n_event,24.0,fit-age-sex,-1,0
0.028023484556103526,10,uniform,0.2,n_event,13.0,fit-age-sex,-1,0
0.04913097491155599,10,uniform,0.2,n_event,11.0,fit-age-sex,-1,0
0.06867805399862802,10,uniform,0.2,n_event,5.0,fit-age-sex,-1,0
0.08926265792584442,10,uniform,0.2,n_event,3.0,fit-age-sex,-1,0
0.10860365976283774,10,uniform,0.2,n_event,5.0,fit-age-sex,-1,0
0.1292175204222111,10,uniform,0.2,n_event,4.0,fit-age-sex,-1,0
0.14887575004830594,10,uniform,0.2,n_event,1.0,fit-age-sex,-1,0
0.16742775453261818,10,uniform,0.2,n_event,2.0,fit-age-sex,-1,0
0.18866150525157593,10,uniform,0.2,n_event,4.0,fit-age-sex,-1,0
0.00865423579612655,10,uniform,0.62,prob_true,0.010341916420430562,fit-age-sex,-1,0
0.08773695591810418,10,uniform,0.62,prob_true,0.09210526315789473,fit-age-sex,-1,0
0.14628271159622697,10,uniform,0.62,prob_true,0.11764705882352941,fit-age-sex,-1,0
0.2121314439070857,10,uniform,0.62,prob_true,0.16,fit-age-sex,-1,0
0.27566918852991407,10,uniform,0.62,prob_true,0.36363636363636365,fit-age-sex,-1,0
0.34898204243549447,10,uniform,0.62,prob_true,0.3333333333333333,fit-age-sex,-1,0
0.410568417312393,10,uniform,0.62,prob_true,0.42857142857142855,fit-age-sex,-1,0
0.4603976016048523,10,uniform,0.62,prob_true,0.3333333333333333,fit-age-sex,-1,0
0.534235081153921,10,uniform,0.62,prob_true,0.6666666666666666,fit-age-sex,-1,0
0.6152649806838274,10,uniform,0.62,prob_true,0.0,fit-age-sex,-1,0
0.00865423579612655,10,uniform,0.62,n_total,4738.0,fit-age-sex,-1,0
0.08773695591810418,10,uniform,0.62,n_total,152.0,fit-age-sex,-1,0
0.14628271159622697,10,uniform,0.62,n_total,51.0,fit-age-sex,-1,0
0.2121314439070857,10,uniform,0.62,n_total,25.0,fit-age-sex,-1,0
0.27566918852991407,10,uniform,0.62,n_total,11.0,fit-age-sex,-1,0
0.34898204243549447,10,uniform,0.62,n_total,9.0,fit-age-sex,-1,0
0.410568417312393,10,uniform,0.62,n_total,7.0,fit-age-sex,-1,0
0.4603976016048523,10,uniform,0.62,n_total,3.0,fit-age-sex,-1,0
0.534235081153921,10,uniform,0.62,n_total,3.0,fit-age-sex,-1,0
0.6152649806838274,10,uniform,0.62,n_total,1.0,fit-age-sex,-1,0
0.00865423579612655,10,uniform,0.62,n_event,49.0,fit-age-sex,-1,0
0.08773695591810418,10,uniform,0.62,n_event,14.0,fit-age-sex,-1,0
0.14628271159622697,10,uniform,0.62,n_event,6.0,fit-age-sex,-1,0
0.2121314439070857,10,uniform,0.62,n_event,4.0,fit-age-sex,-1,0
0.27566918852991407,10,uniform,0.62,n_event,4.0,fit-age-sex,-1,0
0.34898204243549447,10,uniform,0.62,n_event,3.0,fit-age-sex,-1,0
0.410568417312393,10,uniform,0.62,n_event,3.0,fit-age-sex,-1,0
0.4603976016048523,10,uniform,0.62,n_event,1.0,fit-age-sex,-1,0
0.534235081153921,10,uniform,0.62,n_event,2.0,fit-age-sex,-1,0
0.6152649806838274,10,uniform,0.62,n_event,0.0,fit-age-sex,-1,0
0.004933796280831582,10,uniform,0.2,prob_true,0.0054671968190854875,fit-spline,-1,0
0.02843512934428956,10,uniform,0.2,prob_true,0.023148148148148147,fit-spline,-1,0
