model,threshold,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
all,0.1,tp_rate,0.0172,all,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
all,0.2,tp_rate,0.0172,all,0,0.0136,0.021009999999999997,0.0136,0.021009999999999997
none,0.005,tp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.01,tp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.0141,tp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.02,tp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.03,tp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.04,tp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.05,tp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.1,tp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.2,tp_rate,0.0,none,0,0.0,0.0,0.0,0.0
all,0.005,fp_rate,0.9828,all,0,0.97899,0.9864,0.97899,0.9864
all,0.01,fp_rate,0.9828,all,0,0.97899,0.9864,0.97899,0.9864
all,0.0141,fp_rate,0.9828,all,0,0.97899,0.9864,0.97899,0.9864
all,0.02,fp_rate,0.9828,all,0,0.97899,0.9864,0.97899,0.9864
all,0.03,fp_rate,0.9828,all,0,0.97899,0.9864,0.97899,0.9864
all,0.04,fp_rate,0.9828,all,0,0.97899,0.9864,0.97899,0.9864
all,0.05,fp_rate,0.9828,all,0,0.97899,0.9864,0.97899,0.9864
all,0.1,fp_rate,0.9828,all,0,0.97899,0.9864,0.97899,0.9864
all,0.2,fp_rate,0.9828,all,0,0.97899,0.9864,0.97899,0.9864
none,0.005,fp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.01,fp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.0141,fp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.02,fp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.03,fp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.04,fp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.05,fp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.1,fp_rate,0.0,none,0,0.0,0.0,0.0,0.0
none,0.2,fp_rate,0.0,none,0,0.0,0.0,0.0,0.0
all,0.005,net_benefit,0.012261306532663316,all,0,0.00864321608040201,0.01609045226130653,0.00864321608040201,0.01609045226130653
all,0.01,net_benefit,0.007272727272727271,all,0,0.0036363636363636338,0.011121212121212117,0.0036363636363636338,0.011121212121212117
all,0.0141,net_benefit,0.003144335125266254,all,0,-0.0005071508266558493,0.007008824424383808,-0.0005071508266558493,0.007008824424383808
all,0.02,net_benefit,-0.00285714285714286,all,0,-0.006530612244897963,0.001030612244897954,-0.006530612244897963,0.001030612244897954
all,0.03,net_benefit,-0.013195876288659796,all,0,-0.016907216494845362,-0.009268041237113405,-0.016907216494845362,-0.009268041237113405
all,0.04,net_benefit,-0.023750000000000007,all,0,-0.027500000000000004,-0.019781250000000007,-0.027500000000000004,-0.019781250000000007
all,0.05,net_benefit,-0.03452631578947369,all,0,-0.03831578947368422,-0.03051578947368422,-0.03831578947368422,-0.03051578947368422
all,0.1,net_benefit,-0.092,all,0,-0.09600000000000002,-0.08776666666666669,-0.09600000000000002,-0.08776666666666669
all,0.2,net_benefit,-0.2285,all,0,-0.233,-0.2237375,-0.233,-0.2237375
none,0.005,net_benefit,0.0,none,0,0.0,0.0,0.0,0.0
none,0.01,net_benefit,0.0,none,0,0.0,0.0,0.0,0.0
none,0.0141,net_benefit,0.0,none,0,0.0,0.0,0.0,0.0
none,0.02,net_benefit,0.0,none,0,0.0,0.0,0.0,0.0
none,0.03,net_benefit,0.0,none,0,0.0,0.0,0.0,0.0
none,0.04,net_benefit,0.0,none,0,0.0,0.0,0.0,0.0
none,0.05,net_benefit,0.0,none,0,0.0,0.0,0.0,0.0
none,0.1,net_benefit,0.0,none,0,0.0,0.0,0.0,0.0
none,0.2,net_benefit,0.0,none,0,0.0,0.0,0.0,0.0
all,0.005,net_intervention_avoided,0.0,all,0,0.0,0.0,0.0,0.0
all,0.01,net_intervention_avoided,0.0,all,0,0.0,0.0,0.0,0.0
all,0.0141,net_intervention_avoided,0.0,all,0,0.0,0.0,0.0,0.0
all,0.02,net_intervention_avoided,0.0,all,0,0.0,0.0,0.0,0.0
