fpr,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
0.0,tpr,0.0,fit,0,0.0,0.0377569099929128,0.0,0.0377569099929128
0.01,tpr,0.22093023255813954,fit,0,0.13484258492129247,0.309473587674248,0.13484258492129247,0.309473587674248
0.02,tpr,0.29069767441860467,fit,0,0.20633333333333334,0.3876944971537002,0.20633333333333334,0.3876944971537002
0.03,tpr,0.37209302325581395,fit,0,0.26230374396135264,0.44836278586278583,0.26230374396135264,0.44836278586278583
0.04,tpr,0.4186046511627907,fit,0,0.3112990196078431,0.4897997496871089,0.3112990196078431,0.4897997496871089
0.05,tpr,0.46511627906976744,fit,0,0.3648936170212766,0.5307259073842303,0.3648936170212766,0.5307259073842303
0.06,tpr,0.47674418604651164,fit,0,0.36917105263157896,0.5500339548092358,0.36917105263157896,0.5500339548092358
0.07,tpr,0.5,fit,0,0.4144791666666667,0.5766878342245989,0.4144791666666667,0.5766878342245989
0.08,tpr,0.5465116279069767,fit,0,0.4511309523809524,0.6483323226197696,0.4511309523809524,0.6483323226197696
0.09,tpr,0.6162790697674418,fit,0,0.49676637876553614,0.6967613636363635,0.49676637876553614,0.6967613636363635
0.1,tpr,0.627906976744186,fit,0,0.5384224186307519,0.7223015774437958,0.5384224186307519,0.7223015774437958
0.11,tpr,0.627906976744186,fit,0,0.5394886363636363,0.7223015774437958,0.5394886363636363,0.7223015774437958
0.12,tpr,0.6511627906976745,fit,0,0.55497799779978,0.7405429943767573,0.55497799779978,0.7405429943767573
0.13,tpr,0.6744186046511628,fit,0,0.589918946301925,0.7639204545454545,0.589918946301925,0.7639204545454545
0.14,tpr,0.7093023255813954,fit,0,0.617686170212766,0.793051278618289,0.617686170212766,0.793051278618289
0.15,tpr,0.7209302325581395,fit,0,0.6391752577319587,0.8102453102453102,0.6391752577319587,0.8102453102453102
0.16,tpr,0.7209302325581395,fit,0,0.648301499032882,0.8181818181818182,0.648301499032882,0.8181818181818182
0.17,tpr,0.7325581395348837,fit,0,0.6536326658322904,0.8181818181818182,0.6536326658322904,0.8181818181818182
0.18,tpr,0.7441860465116279,fit,0,0.6629432624113475,0.825,0.6629432624113475,0.825
0.19,tpr,0.7441860465116279,fit,0,0.6644791666666666,0.825,0.6644791666666666,0.825
0.2,tpr,0.7441860465116279,fit,0,0.6644791666666666,0.8303977272727273,0.6644791666666666,0.8303977272727273
0.21,tpr,0.7558139534883721,fit,0,0.6644791666666666,0.8303977272727273,0.6644791666666666,0.8303977272727273
0.22,tpr,0.7558139534883721,fit,0,0.6644791666666666,0.8333346065699007,0.6644791666666666,0.8333346065699007
0.23,tpr,0.7674418604651163,fit,0,0.6751255910165485,0.8522727272727273,0.6751255910165485,0.8522727272727273
