sens,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
0.99,thr,1.1695242406945399,fit,0,1.1695242406945399,2.4201348544461854,1.1695242406945399,2.4201348544461854
0.95,thr,4.540007206183187,fit,0,2.4197265226724465,6.131347351792072,2.4197265226724465,6.131347351792072
0.9,thr,5.990740144782592,fit,0,4.540535867449472,9.213198299845743,4.540535867449472,9.213198299845743
0.85,thr,8.273743614478617,fit,0,5.748715259344225,10.197716747977726,5.748715259344225,10.197716747977726
0.813953488372093,thr,10.049466677939073,fit,0,10.093579210998994,10.093579210998994,10.093579210998994,10.093579210998994
0.8,thr,10.09775130855618,fit,0,7.623239256427814,18.10681150405252,7.623239256427814,18.10681150405252
0.5,thr,42.29157178214598,fit,0,31.794739340980332,56.288664496525094,31.794739340980332,56.288664496525094
0.99,spec,0.28652828652828655,fit,0,0.27614536141835483,0.43401350333052013,0.27614536141835483,0.43401350333052013
0.95,spec,0.5814000814000814,fit,0,0.43424262241731815,0.6564638858160227,0.43424262241731815,0.6564638858160227
0.9,spec,0.6501831501831502,fit,0,0.5772374695634201,0.7495416855044839,0.5772374695634201,0.7495416855044839
0.85,spec,0.7214082214082214,fit,0,0.6386688288176964,0.7730150651465798,0.6386688288176964,0.7730150651465798
0.813953488372093,spec,0.7610907610907611,fit,0,0.752950752950753,0.752950752950753,0.752950752950753,0.752950752950753
0.8,spec,0.7619047619047619,fit,0,0.7052168194605551,0.8573027116057611,0.7052168194605551,0.8573027116057611
0.5,spec,0.9369149369149369,fit,0,0.9100390068540657,0.9588784045224463,0.9100390068540657,0.9588784045224463
0.99,ppv,0.023708348880856777,fit,0,0.019303221218101616,0.032865356741470154,0.019303221218101616,0.032865356741470154
0.95,ppv,0.038200776172441206,fit,0,0.025897460204809594,0.05061702709336,0.025897460204809594,0.05061702709336
0.9,ppv,0.04308617234468938,fit,0,0.030914018682052135,0.06334554813046293,0.030914018682052135,0.06334554813046293
0.85,ppv,0.0506899660217738,fit,0,0.03500638153755776,0.06626938197227324,0.03500638153755776,0.06626938197227324
0.813953488372093,ppv,0.05627009646302251,fit,0,0.05451713395638629,0.05451713395638629,0.05451713395638629,0.05451713395638629
0.8,ppv,0.055537617048756864,fit,0,0.04183349550957903,0.08767851290158313,0.04183349550957903,0.08767851290158313
0.5,ppv,0.12181303116147309,fit,0,0.08455982002493631,0.18126074139120618,0.08455982002493631,0.18126074139120618
0.99,npv,0.9993895773888108,fit,0,0.9992856743197356,0.9996174105617653,0.9992856743197356,0.9996174105617653
0.95,npv,0.9984971865935064,fit,0,0.9977412542485786,0.9988155289291244,0.9977412542485786,0.9988155289291244
0.9,npv,0.997315520039955,fit,0,0.9965809318243208,0.9978857706185186,0.9965809318243208,0.9978857706185186
0.85,npv,0.9963742657185418,fit,0,0.9952322854449771,0.9972180846445599,0.9952322854449771,0.9972180846445599
0.813953488372093,npv,0.9957401490947817,fit,0,0.9956942949407965,0.9956942949407965,0.9956942949407965,0.9956942949407965
0.8,npv,0.995426991385728,fit,0,0.9942150739206601,0.9964870067156377,0.9942150739206601,0.9964870067156377
0.5,npv,0.9907467183128901,fit,0,0.9886847699610523,0.9927773586026898,0.9886847699610523,0.9927773586026898
0.99,tp,85.14,fit,0,67.32,103.99949999999998,67.32,103.99949999999998
0.95,tp,81.7,fit,0,64.6,99.79749999999997,64.6,99.79749999999997
0.9,tp,77.4,fit,0,61.2,94.54499999999999,61.2,94.54499999999999
0.85,tp,73.1,fit,0,57.8,89.29249999999998,57.8,89.29249999999998
0.813953488372093,tp,70.0,fit,0,70.0,70.0,70.0,70.0
0.8,tp,68.8,fit,0,54.400000000000006,84.03999999999999,54.400000000000006,84.03999999999999
0.5,tp,43.0,fit,0,34.0,52.52499999999999,34.0,52.52499999999999
0.99,fp,3506.0,fit,0,2773.9,3568.0,2773.9,3568.0
0.95,fp,2057.0,fit,0,1683.4,2780.7,1683.4,2780.7
0.9,fp,1719.0,fit,0,1229.425,2078.325,1229.425,2078.325
0.85,fp,1369.0,fit,0,1114.95,1774.9749999999992,1114.95,1774.9749999999992
0.813953488372093,fp,1174.0,fit,0,1214.0,1214.0,1214.0,1214.0
0.8,fp,1170.0,fit,0,701.125,1446.4499999999998,701.125,1446.4499999999998
0.5,fp,310.0,fit,0,201.95,441.04999999999995,201.95,441.04999999999995
0.99,tn,1408.0,fit,0,1359.75,2126.5499999999997,1359.75,2126.5499999999997
0.95,tn,2857.0,fit,0,2134.275,3216.775,2134.275,3216.775
0.9,tn,3195.0,fit,0,2837.725,3679.725,2837.725,3679.725
0.85,tn,3545.0,fit,0,3134.525,3797.05,3134.525,3797.05
0.813953488372093,tn,3740.0,fit,0,3700.0,3700.0,3700.0,3700.0
0.8,tn,3744.0,fit,0,3469.925,4211.325,3469.925,4211.325
0.5,tn,4604.0,fit,0,4462.475,4710.525,4462.475,4710.525
0.99,fn,0.8599999999999994,fit,0,0.6800000000000068,1.050500000000004,0.6800000000000068,1.050500000000004
0.95,fn,4.299999999999997,fit,0,3.4000000000000057,5.252500000000007,3.4000000000000057,5.252500000000007
0.9,fn,8.599999999999994,fit,0,6.799999999999997,10.504999999999992,6.799999999999997,10.504999999999992
0.85,fn,12.900000000000006,fit,0,10.200000000000003,15.757500000000004,10.200000000000003,15.757500000000004
0.813953488372093,fn,16.0,fit,0,16.0,16.0,16.0,16.0
0.8,fn,17.200000000000003,fit,0,13.599999999999994,21.00999999999999,13.599999999999994,21.00999999999999
0.5,fn,43.0,fit,0,34.0,52.52499999999999,34.0,52.52499999999999
